,S/N,DATE,OrderNumber,SKU,PCS,ReferenceID,Location,Alley_Number,Cellule,Coord,AlleyCell,Size
0,0,12/11/2018,3780678,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
1,1,12/11/2018,3780650,340308,1,340308,A0721204,A07,21,"[32.5, 22.5]",A0721,"(350, 200)"
2,2,12/11/2018,3780649,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
3,3,12/11/2018,3780645,442025,1,442025,A0706401,A07,6,"[31.25, 10.5]",A0706,"(210, 260)"
4,4,12/11/2018,3780638,436455,1,436455,A0216107,A02,16,"[47.5, 18.0]",A0216,"(350, 240)"
5,5,12/11/2018,3780641,403849,1,403849,A0308201,A03,8,"[44.25, 12.0]",A0308,"(260, 360)"
6,6,12/11/2018,3780633,439405,1,439405,A0403203,A04,3,"[42.25, 9.0]",A0403,"(150, 120)"
7,7,12/11/2018,3780621,419207,2,419207,A0503203,A05,3,"[39.0, 9.0]",A0503,"(170, 160)"
8,8,12/11/2018,3780621,447663,1,447663,A1020501,A10,20,"[20.75, 21.0]",A1020,"(100, 140)"
9,9,12/11/2018,3780618,364507,1,364507,A0306503,A03,6,"[44.25, 10.5]",A0306,"(50, 180)"
10,10,12/11/2018,3780596,254222,1,254222,A0719102,A07,19,"[32.5, 21.0]",A0719,"(290, 120)"
11,12,12/11/2018,3780592,434110,1,434110,A0315405,A03,15,"[45.5, 18.0]",A0315,"(120, 160)"
12,12,12/11/2018,3780592,404062,2,404062,A0320401,A03,20,"[44.25, 21.0]",A0320,"(150, 180)"
13,11,12/11/2018,3780592,351051,1,351051,A0714203,A07,14,"[31.25, 16.5]",A0714,"(420, 120)"
14,15,12/11/2018,3780592,442977,2,442977,A0517304,A05,17,"[39.0, 19.5]",A0517,"(180, 20)"
15,15,12/11/2018,3780592,442439,2,442439,A0711102,A07,11,"[32.5, 15.0]",A0711,"(200, 160)"
16,12,12/11/2018,3780592,351052,1,351052,A0714301,A07,14,"[31.25, 16.5]",A0714,"(340, 200)"
17,18,12/11/2018,3780588,372417,2,372417,A0208307,A02,8,"[47.5, 12.0]",A0208,"(120, 140)"
18,18,12/11/2018,3780588,442023,1,442023,A0702503,A07,2,"[31.25, 6.0]",A0702,"(240, 140)"
19,18,12/11/2018,3780588,370781,2,370781,A1008402,A10,8,"[20.75, 12.0]",A1008,"(300, 280)"
20,13,12/11/2018,3780588,442946,1,442946,A0309308,A03,9,"[45.5, 13.5]",A0309,"(150, 340)"
21,14,12/11/2018,3780589,326280,1,326280,A0608404,A06,8,"[34.5, 12.0]",A0608,"(170, 380)"
22,15,12/11/2018,3780574,380521,1,380521,A0322308,A03,22,"[44.25, 22.5]",A0322,"(400, 300)"
23,24,12/11/2018,3780574,454369,2,454369,A0608204,A06,8,"[34.5, 12.0]",A0608,"(360, 120)"
24,24,12/11/2018,3780574,422119,1,422119,A0602202,A06,2,"[34.5, 6.0]",A0602,"(240, 100)"
25,24,12/11/2018,3780574,397351,2,397351,A0918302,A09,18,"[24, 19.5]",A0918,"(310, 360)"
26,27,12/11/2018,3780574,349072,1,349072,A1019304,A10,19,"[22.75, 21.0]",A1019,"(260, 240)"
27,27,12/11/2018,3780574,401556,1,401556,A0316404,A03,16,"[44.25, 18.0]",A0316,"(240, 360)"
28,29,12/11/2018,3780574,307785,2,307785,A0220203,A02,20,"[47.5, 21.0]",A0220,"(180, 140)"
29,29,12/11/2018,3780574,341956,2,341956,A1019201,A10,19,"[22.75, 21.0]",A1019,"(300, 40)"
30,29,12/11/2018,3780574,433414,1,433414,A0304207,A03,4,"[44.25, 9.0]",A0304,"(70, 40)"
31,32,12/11/2018,3780574,439407,1,439407,A0318301,A03,18,"[44.25, 19.5]",A0318,"(80, 180)"
32,32,12/11/2018,3780574,264149,2,264149,A0911204,A09,11,"[26, 15.0]",A0911,"(330, 320)"
33,27,12/11/2018,3780574,453965,2,453965,A1019401,A10,19,"[22.75, 21.0]",A1019,"(80, 60)"
34,16,12/11/2018,3780574,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
35,36,12/11/2018,3780556,425964,2,425964,A0304408,A03,4,"[44.25, 9.0]",A0304,"(70, 120)"
36,36,12/11/2018,3780556,348813,1,348813,A0907404,A09,7,"[26, 12.0]",A0907,"(90, 280)"
37,38,12/11/2018,3780556,446382,1,446382,A0517301,A05,17,"[39.0, 19.5]",A0517,"(400, 100)"
38,38,12/11/2018,3780556,438512,1,438512,A0515203,A05,15,"[39.0, 18.0]",A0515,"(120, 120)"
39,38,12/11/2018,3780556,295643,2,295643,A0904404,A09,4,"[24, 9.0]",A0904,"(150, 320)"
40,17,12/11/2018,3780556,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
41,18,12/11/2018,3780559,287410,1,287410,A0609202,A06,9,"[35.75, 13.5]",A0609,"(360, 200)"
42,19,12/11/2018,3780559,440531,1,440531,A1011103,A10,11,"[22.75, 15.0]",A1011,"(380, 380)"
43,20,12/11/2018,3780559,458569,1,458569,A0714304,A07,14,"[31.25, 16.5]",A0714,"(380, 220)"
44,21,12/11/2018,3780555,290863,1,290863,A1011204,A10,11,"[22.75, 15.0]",A1011,"(360, 240)"
45,22,12/11/2018,3780555,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
46,47,12/11/2018,3780553,368323,2,368323,A1113102,A11,13,"[19.5, 16.5]",A1113,"(260, 40)"
47,47,12/11/2018,3780553,371177,2,371177,A0320508,A03,20,"[44.25, 21.0]",A0320,"(150, 340)"
48,49,12/11/2018,3780553,458569,2,458569,A0714304,A07,14,"[31.25, 16.5]",A0714,"(380, 220)"
49,49,12/11/2018,3780553,398768,1,398768,A0308503,A03,8,"[44.25, 12.0]",A0308,"(200, 280)"
50,49,12/11/2018,3780553,391450,2,391450,A0513404,A05,13,"[39.0, 16.5]",A0513,"(310, 180)"
51,23,12/11/2018,3780553,344980,1,344980,A0410303,A04,10,"[41.0, 13.5]",A0410,"(230, 320)"
52,24,12/11/2018,3780530,253464,1,253464,A0507401,A05,7,"[39.0, 12.0]",A0507,"(120, 100)"
53,25,12/11/2018,3780514,427203,1,427203,A0306304,A03,6,"[44.25, 10.5]",A0306,"(320, 220)"
54,26,12/11/2018,3780514,465577,1,465577,A1004103,A10,4,"[20.75, 9.0]",A1004,"(100, 320)"
55,27,12/11/2018,3780504,427755,2,427755,A0202206,A02,2,"[47.5, 6.0]",A0202,"(240, 220)"
56,57,12/11/2018,3780505,374297,2,374297,A0105201,A01,5,"[52.0, 10.5]",A0105,"(210, 200)"
57,58,12/11/2018,3780505,292187,1,292187,A0914401,A09,14,"[24, 16.5]",A0914,"(50, 180)"
58,58,12/11/2018,3780505,434108,2,434108,A0405303,A04,5,"[42.25, 10.5]",A0405,"(190, 80)"
59,57,12/11/2018,3780505,437905,2,437905,A0218202,A02,18,"[47.5, 19.5]",A0218,"(160, 120)"
60,57,12/11/2018,3780505,146788,1,146788,A0205204,A02,5,"[48.75, 10.5]",A0205,"(140, 60)"
61,62,12/11/2018,3780505,403589,2,403589,A0104202,A01,4,"[50.75, 9.0]",A0104,"(210, 20)"
62,63,12/11/2018,3780505,460231,2,460231,A0919103,A09,19,"[26, 21.0]",A0919,"(340, 140)"
63,64,12/11/2018,3780505,458569,1,458569,A0714304,A07,14,"[31.25, 16.5]",A0714,"(380, 220)"
64,64,12/11/2018,3780505,339813,1,339813,A1009402,A10,9,"[22.75, 13.5]",A1009,"(160, 120)"
65,64,12/11/2018,3780505,436724,2,436724,A0411302,A04,11,"[42.25, 15.0]",A0411,"(180, 80)"
66,63,12/11/2018,3780505,432235,2,432235,A0418203,A04,18,"[41.0, 19.5]",A0418,"(290, 160)"
67,62,12/11/2018,3780505,388041,2,388041,A0804403,A08,4,"[28.0, 9.0]",A0804,"(90, 160)"
68,62,12/11/2018,3780505,448369,2,448369,A0714404,A07,14,"[31.25, 16.5]",A0714,"(80, 240)"
69,28,12/11/2018,3780505,263737,1,263737,A0413203,A04,13,"[42.25, 16.5]",A0413,"(260, 320)"
