Posting No.,Document No.,Posting Date,Customer No.,Customer Name,Ship-to Name,Division Code,No.,Description,Packing Size,Qty. per Unit of Measure,UOM,Quantity,Quantity (Base)
BCMINV-220500399,BCMSO-026974,5/24/2022,C-005192,ISS CATERING SERVICES PTE LTD - MJ,ISS CATERING SERVICES PTE LTD - MJ,CATERER/MFR,ZZASAF50GM,ASAFOETIDA POWDER - HING (L),400 X 50GM,1,BTL,2,2
BCMINV-220500399,BCMSO-026974,5/24/2022,C-005192,ISS CATERING SERVICES PTE LTD - MJ,ISS CATERING SERVICES PTE LTD - MJ,CATERER/MFR,ZZBGF1KG,"BESAN GRAM FLOUR CHICK PEAS / CHANA DAL FLOUR""""",10 x 1KG,1,PKT,1,1
BCMINV-220500399,BCMSO-026974,5/24/2022,C-005192,ISS CATERING SERVICES PTE LTD - MJ,ISS CATERING SERVICES PTE LTD - MJ,CATERER/MFR,ZZRF600GM,ELEPHANT BALL RICE FLOUR,16 X 600GM,1,PKT,3,3
BCMINV-220500399,BCMSO-026974,5/24/2022,C-005192,ISS CATERING SERVICES PTE LTD - MJ,ISS CATERING SERVICES PTE LTD - MJ,CATERER/MFR,SAPUFCM1LTR,SAPORITO UHT MILK - 3.5% FAT with CAP,12 X 1LTR,1,PKT,2,2
BCMINV-220500399,BCMSO-026974,5/24/2022,C-005192,ISS CATERING SERVICES PTE LTD - MJ,ISS CATERING SERVICES PTE LTD - MJ,CATERER/MFR,DZDSHM500GM,YOWE DRIED SHRIMPS - GELAGOR,15 x 500GM,1,PKT,2,2
BCMINV-220500409,BCMSO-026986,5/24/2022,C-004746,LAVENDER CONFECTIONERY & BAKERY PTE LTD,LAVENDER CONFECTIONERY & BAKERY PTE LTD,BAKERY,ZZBFCLD3LTR,BEST FOOD COLESLAW DRESSING,4 X 3LTR,1,TUB,1,1
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,DZDSHM500GM,YOWE DRIED SHRIMPS - GELAGOR,15 x 500GM,1,PKT,2,2
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,ZZFSH1KG,YOKEE FRIED ONION,10 x 1KG,1,PKT,1,1
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,ZZSTP500GM,"SOTO POWDER MALABAR""""",10 X 500GM,1,PKT,2,2
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,ZZBB500GM,"PRESERVED SALTED BLACK BEAN ""Xian Xiang Shi""""",24 x 500GM,1,PKT,1,1
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,ZZSBP3KG,SALTED SOYA BEAN WHOLE,4 x 3KG,1,PKT,1,1
BCMINV-220500445,BCMSO-027020,5/24/2022,C-001540,MANNA POT CATERING PTE LTD,MANNA POT CATERING PTE LTD (B4 3PM),CATERER/MFR,DBWMS7500GM,DOBELE WHOLEMEAL SPAGHETTI NO.7,24 X 500GM,1,PKT,24,24
BCMINV-220500445,BCMSO-027020,5/24/2022,C-001540,MANNA POT CATERING PTE LTD,MANNA POT CATERING PTE LTD (B4 3PM),CATERER/MFR,ZZKNCSBL480GM,KNORR CONCENTRATED SCALLOP BOULLION,12 X 480GM,1,BTL,12,12
BCMINV-220500445,BCMSO-027020,5/24/2022,C-001540,MANNA POT CATERING PTE LTD,MANNA POT CATERING PTE LTD (B4 3PM),CATERER/MFR,ZZKAPHPS6KG,"KOREAN ALL PURPOSE HOT PEPPER SAUCE ""GoChuJang sauce""",3 x 6KG,1,TUB,1,1
BCMINV-220500448,BCMSO-027024,5/25/2022,C-004097,LAGUN SARI WEDDING & CATERINE SERVICES PTE LTD,LAGUN SARI WEDDING & CATERINE SERVICES PTE LTD,CATERER/MFR,ZZMGCCS1200GM,MAGGI CONCENTRATED CHICKEN STOCK,6 X 1.2KG,1,BTL,4,4
BCMINV-220500399,BCMSO-026974,5/24/2022,C-005192,ISS CATERING SERVICES PTE LTD - MJ,ISS CATERING SERVICES PTE LTD - MJ,CATERER/MFR,ZZCHP250GM,BABAS CHILLI POWDER,40 X 250GM,1,PKT,2,2
BCMINV-220500399,BCMSO-026974,5/24/2022,C-005192,ISS CATERING SERVICES PTE LTD - MJ,ISS CATERING SERVICES PTE LTD - MJ,CATERER/MFR,ZZUDS1KG,"URID DHALL WHITE"" - SPLIT""",20 X 1KG,1,KG,2,2
BCMINV-220500399,BCMSO-026974,5/24/2022,C-005192,ISS CATERING SERVICES PTE LTD - MJ,ISS CATERING SERVICES PTE LTD - MJ,CATERER/MFR,ZZSCPF1KG,"SALTED CHYE POH ""FINED""",24 x 1KG,1,PKT,1,1
BCMINV-220500409,BCMSO-026986,5/24/2022,C-004746,LAVENDER CONFECTIONERY & BAKERY PTE LTD,LAVENDER CONFECTIONERY & BAKERY PTE LTD,BAKERY,SPTCIO1880GM,SAPORITO TUNA CHUNK IN SOYA BEAN OIL,6 X 1.80KG,6,CTN,3,18
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,ZZNFBL3400ML,YOWELL BLEACH,4 X 3.8LTR,1,TUB,1,1
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,ZZNFDWL5LTR,YOWELL DISH WASHING LIQUID,4 x 5LTR,1,BTL,1,1
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,DZRCD500GM,YOWE RED CHILLI DRIED WITHOUT STEM,9 X 500GM,1,PKT,2,2
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,MGMP3KG,MAGGI MASHED POTATO COMPLETE MIX,6 X 2.5KG,1,TIN,1,1
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,FMSPAG500GM,SAPORITO SPAGHETTI 03,24 X 500GM,1,PKT,10,10
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,ZZTWS1KG,"TAMARIND ""ASAM"" PASTE W SEED",24 x 1KG,1,PKT,1,1
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,DZCORP500GM,CORIANDER POWDER,25 X 500GM,1,PKT,1,1
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,ZZBFCLD3LTR,BEST FOOD COLESLAW DRESSING,4 X 3LTR,1,TUB,1,1
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,YWBRPUP1KG,YOWE RAW PEANUTS UNPEELED,20 x 1KG,1,PKT,2,2
BCMINV-220500442,BCMSO-027018,5/24/2022,C-000797,FOODEDGE GOURMET PTE LTD,Foodedge Gourmet Pte Ltd,CATERER/MFR,ZZBSH2250GM,KOREAN BBQ SAUCE (BULGOGI SAUCE),6 X 2.25KG,1,TIN,24,24
BCMINV-220500443,BCMSO-027019,5/24/2022,C-001327,KATONG CATERING,KATONG CATERING,CATERER/MFR,FMFUS500GM,SAPORITO FUSILLI,24 X 500GM,24,CTN,2,48
