Bin.,No.,Description,Packing Size,UOM
10-LA1,ZZLKKMOS510ML,"LKK MAHSURI OYSTER SAUCE ""TIRAM""",12 X 510GM,BTL
10-LA1,ZZLKKMTR530GM,LKK MAHSURI TIGA RASA,12 X 530GM,BTL
10-LA2,ZZMGCMS1200GM,MAGGI CHEF MASTER STOCK,6 X 1.2KG,BTL
10-LA2,MGCS6KG,"MAGGI CHEF SECRET ""in packet""",6 X 1 KG,TUB
10-LA2,ZZMGCSPP1KG,"MAGGI CHICKEN SEASONING  ""Premium""",6 X 1KG,POUCH
10-LA2,MGMP3KG,MAGGI MASHED POTATO COMPLETE MIX,6 X 2.5KG,TIN
10-LC1,ZZLKPANOS510GM,LKK PANDA OYSTER SAUCE,12 X 510GM,BTL
10-LC1,ZZLKPANOS770GM,LKK PANDA OYSTER SAUCE,12 X 770GM,BTL
10-LC2,ZZLKKMHSS410ML,LKK MAHSURI HOT SWEET SOY,12 X 410ML,BTL
10-LC2,ZZLKKMSS410ML,LKK MAHSURI SWEET SOY,12 X 410ML,BTL
10-LD1,ZZLKKCSA10,LKK CHILLI SAUCE ,6 X 2.15KG,TUB
10-LD1,ZZLKKTSSA10,LKK TOMATO FLAVOURED SAUCE,6 X 2.1KG,TUB
10-LD2,ZZLKKMBP490GM,LKK MAHSURI BLACK PEPPER SAUCE,12 X 490GM,BTL
10-LD2,ZZLKPOS510GM,"LKK PREMIUM OYSTER SAUCE ""OLD STYLE""",12 X 510GM,BTL
10-LE1,ZZLKZHP2KG,LKK CHU HOU PASTE,6 X 2.17KG,TIN
10-LE1,ZZLKKSB2200GM,LKK SOUP BASE FOR SICHUAN HOT & SPICY HOT POT,6 X 2.2KG,TIN
10-LE2,ZZLKZHP240GM,LKK CHU HOU PASTE,12 X 240GM,BTL
10-LE2,ZZLKSBS240GM,LKK SOY BEAN SAUCE,12 X 240GM,BTL
10-LE2,ZZLSBCHP60GM,MOS - LKK SOUP BASE FOR CHICKEN HOT POT,6 x 12S x 60GM,PKT
10-LF1,ZZLKDSS550ML,LKK DARK SOYA SAUCE - PREMIUM,12 X 500ML,BTL
10-LF1,ZZLKKLSSP550ML,LKK LIGHT SOYA SAUCE -  PREMIUM,12 X 500ML,BTL
10-LF2,ZZLKBBCS50GM,LKK BLACK BEAN CHICKEN SAUCE,6 X 12'S X 50GM,PKT
10-LF2,ZZLKTPS230ML,LKK CHILLI BEAN SAUCE - TOBAN DJAN SAUCE,12 X 226GM,BTL
10-LF2,ZZLKCGS226GM,LKK CHILLI GARLIC SAUCE,12 X 226GM,BTL
10-LF2,ZZLKPS230ML,LKK PLUM SAUCE,12 X 260GM,BTL
10-LF2,ZZLKSO207ML,LKK PURE SESAME OIL,12 x 207ML,BTL
10-LG1,ZZPMP2KG,KNORR MASHED POTATO ,2KG / BOX,BOX
10-LG1,ZZLKOSPAN2270GM,LKK PANDA OYSTER SAUCE,6 X 2.2KG,TIN
10-LG2,ZZLKBBG226GM,LKK BLACK BEANS GARLIC,12 X 226GM,BTL
10-LG2,ZZLKKBPS230GM,LKK BLACK PEPPER SAUCE,12 X 230GM,BTL
10-LG2,ZZLKMG326GM,LKK MINCED GARLIC,12 X 213GM,BTL
10-LG2,ZZLKMGG213GM,LKK MINCED GINGER,12 X 213GM,BTL
10-LG2,ZZLKSBB226GM,LKK SPICY BLACK BEAN SAUCE,12 X 226GM,BTL
10-LH1,ZZLKPOS2200KG,"LKK PREMIUM OYSTER SAUCE ""OLD STYLE""",6 X 2.2KG,BTL
10-LH1,ZZLKSLSS1900ML,LKK SUPERIOR LIGHT SOYA SAUCE 4000005242,6 X 1.9LTR,BTL
10-LH2,ZZLKHOIS240GM,LKK HOISIN SAUCE,12 X 240GM,BTL
10-LH2,ZZSBS226GM,"LKK SPICY BEAN SAUCE MA PO TOFU""""",12 X 226GM,BTL
10-LJ1,ZZSP250GM,LKK FINE SHRIMP SAUCE,12 X 227GM,BTL
10-LJ1,ZZLKMSG454GM,"LKK Monosodium Glutamate ""MSG""",25 X 454GM,PKT
10-LJ2,ZZLKSP1KG,LKK FINE SHRIMP SAUCE,6 X 1KG,BTL
10-LJ2,ZZLKNHC1KG,LKK NANYANG FLAVOUR -HAINANESE CHICKEN RICE PASTE,12 X 1KG,POUCH
10-LK1,ZZLKM2KG,LKK MARGARINE,6 X 2.25KG,TIN
10-LK1,ZZLKPS2KG,LKK PLUM SAUCE,6 X 2.31KG,TIN
10-LK2,ZZLKCSS240GM,LKK CHAR SIU SAUCE,12 X 240GM,BTL
10-LK2,ZZLKCCCO205GM,LKK CHIU CHOW CHILLI OIL,12 X 205GM,BTL
10-LL1,ZZLKCS2KG,LKK ORIENTAL BBQ SAUCE,6 X 2.45KG,TIN
10-LL1,ZZLKTK3KG,LKK TOMATO KETCHUP,6 X 3KG,TIN
10-LL2,ZZLKNLP1KG,LKK NANYANG FLAVOUR - LAKSA PASTE,12 X 1KG,POUCH
10-LL2,ZZLKNSE1KG,LKK NANYANG FLAVOUR - SALTED EGG YOLK PASTE ,12 X 1KG,POUCH
10-LN1,ZZLKKKCOFS6KG,LKK KUM CHUN OYSTER SAUCE,3 X 6KG,TUB
10-LN1,ZZLKKLSOS5LTR,LKK LIGHT SOY SAUCE,3 X 5LTR,TUB
