,S/N,DATE,OrderNumber,SKU,PCS,ReferenceID,Location,Alley_Number,Cellule,Coord,AlleyCell,Size
0,0,12/11/2018,3780678,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
1,2,12/11/2018,3780650,363821,1,363821,A1108502,A11,8,"[15.25, 12.0]",A1108,"(250, 180)"
2,2,12/11/2018,3780650,324356,1,324356,A0210405,A02,10,"[47.5, 13.5]",A0210,"(160, 180)"
3,1,12/11/2018,3780650,340308,1,340308,A0721204,A07,21,"[32.5, 22.5]",A0721,"(350, 200)"
4,5,12/11/2018,3780649,404162,1,404162,A0915401,A09,15,"[26, 18.0]",A0915,"(240, 380)"
5,6,12/11/2018,3780649,444299,2,444299,A0518104,A05,18,"[37.75, 19.5]",A0518,"(100, 300)"
6,6,12/11/2018,3780649,370814,1,370814,A0910103,A09,10,"[24, 13.5]",A0910,"(430, 120)"
7,6,12/11/2018,3780649,348801,2,348801,A0904103,A09,4,"[24, 9.0]",A0904,"(370, 280)"
8,5,12/11/2018,3780649,276871,1,276871,A0913204,A09,13,"[26, 16.5]",A0913,"(70, 160)"
9,2,12/11/2018,3780649,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
10,3,12/11/2018,3780645,442025,1,442025,A0706401,A07,6,"[31.25, 10.5]",A0706,"(210, 260)"
11,4,12/11/2018,3780638,436455,1,436455,A0216107,A02,16,"[47.5, 18.0]",A0216,"(350, 240)"
12,13,12/11/2018,3780641,353043,1,353043,A0912203,A09,12,"[24, 15.0]",A0912,"(150, 40)"
13,13,12/11/2018,3780641,426513,2,426513,A0408203,A04,8,"[41.0, 12.0]",A0408,"(230, 100)"
14,13,12/11/2018,3780641,387162,1,387162,A0704502,A07,4,"[31.25, 9.0]",A0704,"(130, 360)"
15,5,12/11/2018,3780641,403849,1,403849,A0308201,A03,8,"[44.25, 12.0]",A0308,"(260, 360)"
16,6,12/11/2018,3780633,439405,1,439405,A0403203,A04,3,"[42.25, 9.0]",A0403,"(150, 120)"
17,18,12/11/2018,3780621,433414,2,433414,A0304207,A03,4,"[44.25, 9.0]",A0304,"(70, 40)"
18,18,12/11/2018,3780621,260229,1,260229,A0920303,A09,20,"[24, 21.0]",A0920,"(90, 280)"
19,18,12/11/2018,3780621,77784,2,77784,A0201101,A02,1,"[48.75, 6.0]",A0201,"(230, 380)"
20,7,12/11/2018,3780621,419207,2,419207,A0503203,A05,3,"[39.0, 9.0]",A0503,"(170, 160)"
21,8,12/11/2018,3780621,447663,1,447663,A1020501,A10,20,"[20.75, 21.0]",A1020,"(100, 140)"
22,9,12/11/2018,3780618,364507,1,364507,A0306503,A03,6,"[44.25, 10.5]",A0306,"(50, 180)"
23,24,12/11/2018,3780596,82067,2,82067,A0715504,A07,15,"[32.5, 18.0]",A0715,"(60, 120)"
24,24,12/11/2018,3780596,263728,1,263728,A0414401,A04,14,"[41.0, 16.5]",A0414,"(140, 100)"
25,24,12/11/2018,3780596,408234,1,408234,A0319501,A03,19,"[45.5, 21.0]",A0319,"(150, 280)"
26,27,12/11/2018,3780596,401556,1,401556,A0316404,A03,16,"[44.25, 18.0]",A0316,"(240, 360)"
27,28,12/11/2018,3780596,397351,1,397351,A0918302,A09,18,"[24, 19.5]",A0918,"(310, 360)"
28,28,12/11/2018,3780596,367542,2,367542,A1016201,A10,16,"[20.75, 18.0]",A1016,"(400, 360)"
29,28,12/11/2018,3780596,267270,2,267270,A0808303,A08,8,"[28.0, 12.0]",A0808,"(90, 180)"
30,27,12/11/2018,3780596,308581,2,308581,A0816404,A08,16,"[28.0, 18.0]",A0816,"(260, 80)"
31,10,12/11/2018,3780596,254222,1,254222,A0719102,A07,19,"[32.5, 21.0]",A0719,"(290, 120)"
32,33,12/11/2018,3780592,332780,1,332780,A0420204,A04,20,"[41.0, 21.0]",A0420,"(390, 320)"
33,34,12/11/2018,3780592,292714,2,292714,A0410402,A04,10,"[41.0, 13.5]",A0410,"(240, 200)"
34,34,12/11/2018,3780592,340306,1,340306,A0721304,A07,21,"[32.5, 22.5]",A0721,"(80, 340)"
35,34,12/11/2018,3780592,191910,1,191910,A0908402,A09,8,"[24, 12.0]",A0908,"(230, 100)"
36,33,12/11/2018,3780592,445009,1,445009,A0621402,A06,21,"[35.75, 22.5]",A0621,"(270, 340)"
37,11,12/11/2018,3780592,351051,1,351051,A0714203,A07,14,"[31.25, 16.5]",A0714,"(420, 120)"
38,12,12/11/2018,3780592,351052,1,351052,A0714301,A07,14,"[31.25, 16.5]",A0714,"(340, 200)"
39,13,12/11/2018,3780588,442946,1,442946,A0309308,A03,9,"[45.5, 13.5]",A0309,"(150, 340)"
40,14,12/11/2018,3780589,326280,1,326280,A0608404,A06,8,"[34.5, 12.0]",A0608,"(170, 380)"
41,15,12/11/2018,3780574,380521,1,380521,A0322308,A03,22,"[44.25, 22.5]",A0322,"(400, 300)"
42,16,12/11/2018,3780574,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
43,44,12/11/2018,3780556,421920,2,421920,A0109302,A01,9,"[52.0, 13.5]",A0109,"(150, 340)"
44,44,12/11/2018,3780556,326739,1,326739,A0705402,A07,5,"[32.5, 10.5]",A0705,"(120, 180)"
45,46,12/11/2018,3780556,292954,1,292954,A0416201,A04,16,"[41.0, 18.0]",A0416,"(370, 80)"
46,46,12/11/2018,3780556,267280,2,267280,A0809101,A08,9,"[29.25, 13.5]",A0809,"(90, 340)"
47,46,12/11/2018,3780556,360537,2,360537,A0110101,A01,10,"[50.75, 13.5]",A0110,"(390, 360)"
48,44,12/11/2018,3780556,458569,1,458569,A0714304,A07,14,"[31.25, 16.5]",A0714,"(380, 220)"
49,17,12/11/2018,3780556,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
50,18,12/11/2018,3780559,287410,1,287410,A0609202,A06,9,"[35.75, 13.5]",A0609,"(360, 200)"
51,19,12/11/2018,3780559,440531,1,440531,A1011103,A10,11,"[22.75, 15.0]",A1011,"(380, 380)"
52,20,12/11/2018,3780559,458569,1,458569,A0714304,A07,14,"[31.25, 16.5]",A0714,"(380, 220)"
53,54,12/11/2018,3780555,397509,2,397509,A1015201,A10,15,"[22.75, 18.0]",A1015,"(320, 160)"
54,55,12/11/2018,3780555,343143,1,343143,A1113202,A11,13,"[19.5, 16.5]",A1113,"(220, 320)"
55,55,12/11/2018,3780555,461527,2,461527,A0313306,A03,13,"[45.5, 16.5]",A0313,"(70, 260)"
56,57,12/11/2018,3780555,446844,2,446844,A0218507,A02,18,"[47.5, 19.5]",A0218,"(370, 240)"
57,57,12/11/2018,3780555,341952,1,341952,A1019104,A10,19,"[22.75, 21.0]",A1019,"(300, 120)"
58,57,12/11/2018,3780555,263927,2,263927,A0210103,A02,10,"[47.5, 13.5]",A0210,"(120, 260)"
59,60,12/11/2018,3780555,263956,2,263956,A0206501,A02,6,"[47.5, 10.5]",A0206,"(380, 360)"
60,60,12/11/2018,3780555,421048,2,421048,A0312307,A03,12,"[44.25, 15.0]",A0312,"(70, 60)"
61,54,12/11/2018,3780555,345644,1,345644,A0213502,A02,13,"[48.75, 16.5]",A0213,"(350, 300)"
62,63,12/11/2018,3780555,349675,1,349675,A1101304,A11,1,"[19.5, 6.0]",A1101,"(290, 340)"
63,63,12/11/2018,3780555,335345,2,335345,A1007502,A10,7,"[22.75, 12.0]",A1007,"(270, 120)"
